ClusterSize,Phi_file,Phi_calc,AbsDifference,Mismatch
158,0.07722,0.07721963941489965,3.6058510034797653e-07,False
159,0.077063,0.0770625566636446,4.4333635540461103e-07,False
160,0.075442,0.07544234882364378,3.4882364378929775e-07,False
161,0.07452,0.07451969726372987,3.0273627013577276e-07,False
162,0.072859,0.07285921625544267,2.1625544267822594e-07,False
163,0.072741,0.07274134261946218,3.426194621763967e-07,False
164,0.071821,0.07182107394196471,7.394196471777192e-08,False
165,0.070322,0.07032227032227033,2.7032227033207956e-07,False
166,0.068748,0.06874760628111834,3.937188816638404e-07,False
167,0.067814,0.06781444285031085,4.428503108527826e-07,False
168,0.066425,0.0664248902462302,1.0975376979471818e-07,False
169,0.064295,0.06429522541373407,2.2541373406737009e-07,False
170,0.062666,0.06266616027345234,1.602734523431515e-07,False
171,0.061937,0.06193683012425306,1.6987574694149465e-07,False
172,0.059024,0.05902383654937571,1.6345062429229396e-07,False
173,0.058157,0.0581570996978852,9.969788519748057e-08,False
174,0.05743,0.057430209606165995,2.0960616599341453e-07,False
175,0.056487,0.0564865373752589,4.626247411057549e-07,False
176,0.0521,0.052099897109718456,1.028902815447541e-07,False
177,0.051598,0.051598429613011774,4.2961301177646405e-07,False
178,0.050844,0.05084429517678888,2.9517678887952536e-07,False
179,0.04966,0.04965992732693562,7.267306438574206e-08,False
180,0.048517,0.04851677294150263,2.2705849736515127e-07,False
181,0.04732,0.04732035790056268,3.5790056267942516e-07,False
182,0.046068,0.04606845513413506,4.551341350605975e-07,False
183,0.04558,0.04558036538106662,3.6538106661793135e-07,False
184,0.044881,0.04488065616072252,3.438392774807175e-07,False
185,0.043999,0.04399852724594993,4.727540500737426e-07,False
186,0.04379,0.043790248390064394,2.4839006439181244e-07,False
187,0.043295,0.0432948082920565,1.9170794349904208e-07,False
188,0.043073,0.043072702331961595,2.976680384056407e-07,False
189,0.04254,0.042539566370871834,4.3362912816730104e-07,False
190,0.041522,0.04152249134948097,4.91349480963299e-07,False
191,0.040837,0.04083674397453388,2.560254661193584e-07,False
192,0.038524,0.0385241454150841,1.4541508409904313e-07,False
193,0.038322,0.038322487346348515,4.873463485127738e-07,False
194,0.037465,0.037465017604044415,1.760404441664143e-08,False
195,0.037505,0.03750450775333574,4.922466642562351e-07,False
196,0.037557,0.037557416914347476,4.1691434747581635e-07,False
197,0.037877,0.03787674313990103,2.568600989683034e-07,False
198,0.037922,0.03792235801581596,3.580158159655067e-07,False
199,0.03713,0.037130044843049326,4.4843049322451645e-08,False
200,0.03703,0.037030395409306915,3.9540930691500664e-07,False
201,0.036944,0.036944270507201005,2.7050720100701975e-07,False
202,0.036515,0.03651459691099009,4.030890099065987e-07,False
203,0.036357,0.03635715558723935,1.5558723934910867e-07,False
204,0.036252,0.036251892758528546,1.0724147145313445e-07,False
205,0.035905,0.03590472804834696,2.719516530372279e-07,False
206,0.03586,0.03586011006568436,1.100656843583403e-07,False
207,0.035711,0.0357111209570226,1.2095702259934393e-07,False
208,0.035371,0.035371489512975474,4.895129754739491e-07,False
209,0.03408,0.034079844206426485,1.5579357351414025e-07,False
210,0.033422,0.033421750663129975,2.4933687002570704e-07,False
211,0.031577,0.031577095610871665,9.561087166432003e-08,False
212,0.030835,0.03083545638232452,4.5638232451863936e-07,False
213,0.030548,0.030547752808988762,2.4719101123643616e-07,False
214,0.029724,0.029723805348531345,1.9465146865529914e-07,False
215,0.028626,0.02862645539700604,4.5539700604252387e-07,False
216,0.028441,0.02844141069397042,4.106939704186241e-07,False
217,0.027897,0.02789680804547442,1.9195452558018467e-07,False
218,0.027712,0.027712212605997027,2.1260599702629945e-07,False
